Seed Number,Area ,Perimeter ,Length ,Width ,Length in Y ,Width in X ,Centroid X ,Centroid Y ,Ave Radial ,Radial Var ,CMRV ,Circular. ,Elongation ,S. Factor ,Germination
33,0.3216,2.2634,0.805,0.4878,0.8017,0.5078,6.1008,6.6873,0.321,0.0032,186.5629,0.7949,0.606,1.1258,Y
34,0.4291,2.6721,0.8791,0.8532,0.8766,0.6414,7.8667,6.4842,0.371,0.0027,136.4431,0.8408,0.9705,1.1507,N
35,0.3733,2.4787,0.884,0.5159,0.8766,0.5666,9.5952,6.4482,0.3477,0.0044,234.1451,0.7799,0.5836,1.1445,Y
36,0.2585,2.0898,0.6846,0.467,0.6788,0.4703,11.5872,6.3299,0.2861,0.0017,108.1976,0.838,0.6821,1.1595,Y
37,0.3523,2.4357,0.7936,0.7333,0.7857,0.5345,13.6147,6.2864,0.3352,0.0022,121.3253,0.844,0.9241,1.1576,Y
38,0.3214,2.2639,0.8176,0.4853,0.8071,0.5184,15.411,6.2491,0.323,0.0034,199.8328,0.7824,0.5936,1.1266,Y
39,0.3602,2.4024,0.8323,0.5536,0.8231,0.5612,17.2377,6.1207,0.3406,0.0027,149.167,0.8137,0.6652,1.1291,Y
40,0.4095,2.5653,0.864,0.7376,0.8605,0.5933,18.7993,6.139,0.362,0.0024,125.0839,0.8358,0.8537,1.1309,Y
41,0.2946,2.1467,0.7566,0.67,0.7536,0.481,20.8191,5.9832,0.3082,0.0026,158.7304,0.8094,0.8855,1.1158,Y
42,0.3498,2.345,0.84,0.5042,0.8338,0.5131,22.6473,5.9834,0.3351,0.0033,185.4588,0.7945,0.6003,1.1184,Y
43,0.3617,2.4584,0.8466,0.7501,0.8445,0.5398,24.6428,5.8403,0.3409,0.0034,184.092,0.8016,0.886,1.1531,Y
44,0.3244,2.2491,0.7922,0.5301,0.791,0.5345,26.3931,5.8051,0.3216,0.0023,132.0177,0.8112,0.6691,1.1139,Y
45,0.3884,2.4902,0.8489,0.6001,0.8445,0.62,28.2739,5.7974,0.3535,0.0024,125.416,0.8284,0.707,1.1272,Y
46,0.3431,2.4799,0.8322,0.4991,0.8124,0.5559,2.2925,8.9721,0.3324,0.0036,205.1708,0.7941,0.5997,1.1944,Y
47,0.3362,2.3447,0.83,0.6953,0.8285,0.5078,4.5026,8.7647,0.3284,0.0035,199.1471,0.7882,0.8377,1.1408,Y
48,0.401,2.6046,0.8974,0.7711,0.8819,0.5612,6.1581,8.6712,0.3593,0.0038,198.1671,0.7962,0.8592,1.1603,Y
49,0.4214,2.5952,0.9078,0.8317,0.8979,0.62,7.9653,8.4212,0.3685,0.0035,175.4037,0.8069,0.9161,1.1278,Y
